time,x,y,qx,qy,qz,qw
213.82728002200002,95.08417836254331,-84.143743068934,-0.00013236237548855924,-1.4348747849864738e-05,0.9999986987885178,0.0016076988480914372
213.84740354500002,95.05979242010095,-84.14550571934912,-0.0001323622592995707,-1.4348486525820576e-05,0.9999981834957058,0.001901388871801472
213.868501092,95.03540544654368,-84.14725404561105,-0.0001323620430819143,-1.4348224119617588e-05,0.9999975819483765,0.0021950790003687714
213.888709535,95.01101745028599,-84.14898804711108,-0.0001323620787407625,-1.4347959825050016e-05,0.9999968941466969,0.0024887690483414064
213.909335004,94.98662843974166,-84.15070772325275,-0.00013236222999625215,-1.4347693904349433e-05,0.9999961200916597,0.002782458626939252
213.932081344,94.96223842332451,-84.15241307344877,-0.00013236212527600487,-1.4347427414053274e-05,0.9999952597832735,0.0030761478186997105
213.950304751,94.93784740944984,-84.15410409710988,-0.00013236184743005834,-1.4347160179349062e-05,0.9999943132204555,0.003369836976764814
213.971447122,94.91345540653366,-84.15578079364673,-0.0001323617790796294,-1.4346890899617782e-05,0.99999328040323,0.003663526021903233
213.993447849,94.88906242299134,-84.157443162481,-0.00013236189131558934,-1.4346619599327963e-05,0.9999921613330587,0.003957214543356681
214.013224049,94.864668467238,-84.15909120304518,-0.00013236179765651362,-1.4346347807831226e-05,0.9999909560102725,0.004250902515747363
214.035181044,94.84027354769003,-84.16072491477146,-0.00013236147284124254,-1.4346075714148338e-05,0.999989664433408,0.00454459029954498
214.054145916,94.81587767276484,-84.16234429709048,-0.0001323613005134453,-1.4345801586455447e-05,0.9999882866021051,0.004838277924023831
214.076482475,94.7914808508794,-84.16394934944184,-0.00013236136077869295,-1.4345524957109684e-05,0.9999868225182106,0.005131964985164152
214.097172295,94.76708309045017,-84.16554007127755,-0.00013236128124500212,-1.4345247714013185e-05,0.9999852721826202,0.005425651348555688
214.11701434800003,94.74268439989456,-84.1671164620513,-0.00013236092835769168,-1.4344970658422724e-05,0.9999836355936356,0.005719337351611879
214.13858356300003,94.71828478763129,-84.16867852121399,-0.00013236065480690828,-1.4344691807239779e-05,0.9999819127502905,0.00601302312960896
214.16054614900003,94.69388426207885,-84.1702262482236,-0.00013236064367411408,-1.434440998793631e-05,0.9999801036546137,0.006306708317827445
214.180311227,94.66948283165493,-84.17175964255102,-0.00013236056826076336,-1.4344127216949323e-05,0.9999782083082395,0.006600392682948148
214.200927508,94.64508050477812,-84.17327870367119,-0.00013236019967517064,-1.434384507071977e-05,0.9999762267094677,0.0068940765100761305
214.22276181200002,94.62067728986824,-84.17478343105567,-0.00013235983291030176,-1.4343561568925359e-05,0.9999741588565908,0.007187760025945397
214.24503082400003,94.59627319534528,-84.1762738241809,-0.00013235973928490364,-1.4343274703255348e-05,0.9999720047515601,0.0074814429300641
214.267205028,94.5718682296283,-84.17774988253645,-0.00013235966237594868,-1.4342986330356422e-05,0.9999697643968575,0.007775124905243506
214.28482958700002,94.54746240113677,-84.17921160561811,-0.00013235929404211715,-1.4342698895290563e-05,0.9999674377910852,0.008068806159291935
214.30386283800001,94.52305571829169,-84.18065899291874,-0.00013235884623063278,-1.434241075656952e-05,0.999965024931745,0.008362486991662251
